YEAR,MONTH,EXPORT,IMPORT,EXPORT_CN,IMPORT_CN
2021,1,48006974 ,44456822 ,11787037 ,10763268 
2021,2,44706907 ,42404636 ,11208799 ,9021941 
2021,3,53690914 ,49742555 ,13408119 ,10884575 
2021,4,51225991 ,50891152 ,13401058 ,11517639 
2021,5,50725161 ,47910522 ,13246809 ,10874644 
2021,6,54778905 ,50429027 ,13070490 ,11423625 
2021,7,55461518 ,53676256 ,13586374 ,11524030 
2021,8,53165104 ,51581093 ,13881328 ,11731429 
2021,9,55913862 ,51636341 ,14291980 ,11409467 
2021,10,55660373 ,53847824 ,14415867 ,11984639 
2021,11,60330542 ,57357549 ,15272549 ,13663761 
2021,12,60734117 ,61159671 ,15342563 ,13829109 
2022,1,55455376 ,60606721 ,13369829 ,13178864 
2022,2,54155835 ,53482054 ,13042436 ,10410116 
2022,3,63786835 ,63811102 ,15642332 ,12626984 
2022,4,57842816 ,60213185 ,12949234 ,12332268 
2022,5,61591326 ,63168380 ,13419779 ,14515941 
2022,6,57679934 ,60149906 ,12960973 ,14158524 
2022,7,60241774 ,65259838 ,13214288 ,13823354 
2022,8,56605950 ,66027733 ,13116160 ,13501248 
2022,9,57176300 ,61012837 ,13342692 ,12677996 
2022,10,52428092 ,59167185 ,12155841 ,13411941 
2022,11,51771855 ,58847655 ,11377960 ,12129046 
2022,12,54848666 ,59623062 ,11197865 ,11810034 
